year;sex;age;s_pop;f_dead;f_born;f_immig_pop;f_immig_cvd;f_immig_cancer;f_cancer_pop;f_pop_cvd;f_cvd_pop;f_cancer_dead;f_cvd_dead;dcost_unit_cancer;icost_unit_cancer;dcost_unit_cvd;icost_unit_cvd;dcost_cancer;dcost_cvd;icost_cancer;icost_cvd;dcost_growth_cancer;dcost_growth_cvd;prev_fruit;prev_wholegrains;prev_greens;prev_meat;prev_salt;paf_cancer_fruit;paf_cancer_wholegrains;paf_cancer_greens;paf_cancer_meat;paf_cancer_salt;paf_cvd_fruit;paf_cvd_wholegrains;paf_cvd_greens;paf_cvd_meat;paf_cvd_salt;s_cancer;s_cvd;s_dead_cancer;s_dead_cvd;s_dead;f_emig_pop;f_emig_cvd;f_emig_cancer;f_pop_cancer;dr;dr_cancer;dr_cvd;prev_alcohol;prev_obesity;prev_smoking;prev_inactivity;paf_cvd_other;paf_cvd_smoking;paf_cvd_inactivity;paf_cvd_obesity;paf_cvd_alcohol;cpaf_diet_cvd;p_pop_cvd;paf_cancer_other;paf_cancer_smoking;paf_cancer_inactivity;paf_cancer_obesity;paf_cancer_alcohol;cpaf_diet_cancer;p_pop_cancer;calibration_cancer;calibration_cvd;calibration_mortality
2021;1;30;79340;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;197;893;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;31;80381;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;212;860;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;32;77025;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;199;938;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;33;75996;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;250;982;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;34;72042;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;217;861;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;35;71479;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;215;977;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;36;70445;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;247;981;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;37;67747;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;257;1018;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;38;65921;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;243;1026;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;39;65986;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;285;1153;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;40;64062;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;291;1215;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;41;66031;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;302;1344;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;42;63788;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;327;1358;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;43;61464;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;325;1455;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;44;61928;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;361;1639;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;45;62238;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;379;1765;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;46;63819;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;432;2016;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;47;66149;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;474;2341;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;48;64349;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;542;2517;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;49;64955;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;594;2842;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;50;63962;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;733;3163;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;51;61834;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;740;3383;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;52;60362;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;815;3626;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;53;62119;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;983;4046;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;54;64471;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1134;4619;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;55;63855;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1308;5342;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;56;62967;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1469;5783;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;57;61464;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1562;6209;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;58;56741;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1635;6237;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;59;52801;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1756;6460;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;60;49607;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;1949;6898;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;61;47896;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2139;7266;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;62;47143;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2397;7746;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;63;45390;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2569;8449;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;64;44150;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;2877;9185;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;65;43362;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3147;9647;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;66;40932;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3135;9984;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
