AR;alder;Kon;prev_cvd;prev_ccr;totpop
2010;96;1;442;87;907
2010;96;2;1253;174;3087
2010;97;1;285;48;579
2010;97;2;947;105;2236
2010;98;1;188;32;363
2010;98;2;629;78;1542
2010;99;1;98;15;207
2010;99;2;385;40;964
2010;100;1;102;17;245
2010;100;2;511;55;1414
2011;4;1;7;35;106
2011;4;2;7;41;104
2011;5;1;22;42;118
2011;5;2;13;32;86
2011;6;1;13;36;98
2011;6;2;16;22;100
2011;7;1;14;34;115
2011;7;2;16;23;107
2011;8;1;8;16;93
2011;8;2;8;14;87
2011;9;1;16;21;127
2011;9;2;11;18;96
2011;10;1;13;22;116
2011;10;2;23;19;107
2011;11;1;14;17;103
2011;11;2;13;16;100
2011;12;1;7;17;114
2011;12;2;10;21;116
2011;13;1;23;26;140
2011;13;2;15;24;143
2011;14;1;18;26;144
2011;14;2;9;17;128
2011;15;1;28;38;52801
2011;15;2;22;27;50146
2011;16;1;36;40;57533
2011;16;2;31;29;53761
2011;17;1;39;63;62013
2011;17;2;25;57;58476
2011;18;1;51;60;64616
2011;18;2;59;61;61153
2011;19;1;189;83;67784
2011;19;2;158;79;63732
2011;20;1;670;86;69160
2011;20;2;502;91;65139
2011;21;1;699;86;69553
2011;21;2;546;68;66251
2011;22;1;721;83;66115
2011;22;2;487;78;63309
2011;23;1;691;75;65463
2011;23;2;488;93;62554
2011;24;1;598;105;62404
2011;24;2;423;111;60525
2011;25;1;605;112;62794
2011;25;2;402;110;59870
2011;26;1;611;106;62391
2011;26;2;462;131;58841
2011;27;1;555;121;60629
2011;27;2;497;129;57123
2011;28;1;586;123;59711
2011;28;2;453;139;56323
2011;29;1;553;131;60190
2011;29;2;493;151;56855
2011;30;1;558;143;59599
2011;30;2;523;197;56964
2011;31;1;611;157;61448
2011;31;2;606;195;58728
2011;32;1;660;173;60084
2011;32;2;545;248;57447
2011;33;1;603;184;58234
2011;33;2;588;230;55903
2011;34;1;708;196;59409
2011;34;2;642;279;56830
2011;35;1;782;180;60236
2011;35;2;640;302;57875
2011;36;1;886;211;62525
2011;36;2;763;350;60472
2011;37;1;940;234;65271
2011;37;2;851;394;63176
2011;38;1;951;227;64293
2011;38;2;844;385;62510
2011;39;1;1057;249;65417
2011;39;2;860;467;63588
2011;40;1;1126;242;65448
2011;40;2;941;497;63663
2011;41;1;1254;258;63689
2011;41;2;1004;535;62246
2011;42;1;1329;278;62982
2011;42;2;963;589;61100
2011;43;1;1520;303;65577
2011;43;2;1129;637;63935
2011;44;1;1664;335;69397
2011;44;2;1222;759;66802
2011;45;1;1920;360;70072
2011;45;2;1374;845;67308
2011;46;1;2190;395;70104
2011;46;2;1441;902;67459
2011;47;1;2305;447;69501
2011;47;2;1599;1038;67526
2011;48;1;2404;409;65251
2011;48;2;1583;979;62455
2011;49;1;2580;489;61726
2011;49;2;1662;1074;60039
2011;50;1;2782;525;59721
2011;50;2;1727;1141;58025
2011;51;1;2990;558;58533
2011;51;2;1883;1142;57533
2011;52;1;3375;687;59057
2011;52;2;2003;1173;57509
2011;53;1;3686;740;58565
2011;53;2;2197;1243;57353
2011;54;1;4074;859;58766
2011;54;2;2374;1356;58320
2011;55;1;4589;1011;59370
2011;55;2;2488;1354;57817
2011;56;1;4760;1085;57713
2011;56;2;2734;1434;57413
2011;57;1;5201;1233;56440
2011;57;2;2843;1471;56016
2011;58;1;5843;1448;57769
2011;58;2;3048;1534;57136
2011;59;1;6184;1602;56821
2011;59;2;3334;1719;56742
2011;60;1;6792;1741;55888
2011;60;2;3557;1755;56142
2011;61;1;7664;2067;58259
2011;61;2;4075;1940;58154
2011;62;1;8206;2451;59715
2011;62;2;4525;2126;60421
2011;63;1;9348;2684;61294
2011;63;2;5053;2299;62342
2011;64;1;10081;3021;61553
2011;64;2;5614;2436;62470
2011;65;1;11226;3369;62088
2011;65;2;5996;2653;62662
2011;66;1;11868;3779;61160
2011;66;2;6491;2727;61515
2011;67;1;12394;4034;59548
2011;67;2;6870;2888;59898
2011;68;1;12037;3801;54738
2011;68;2;7040;2941;56030
2011;69;1;11571;3759;49904
2011;69;2;6829;2637;50539
2011;70;1;10772;3336;43068
2011;70;2;6538;2385;44659
2011;71;1;10937;3302;40313
2011;71;2;6916;2292;42290
2011;72;1;11212;3408;39424
2011;72;2;7339;2330;42288
2011;73;1;11025;3276;36756
2011;73;2;7669;2281;40420
2011;74;1;10876;3193;34032
2011;74;2;7692;2232;37940
2011;75;1;10668;3139;31840
2011;75;2;7865;2169;36601
2011;76;1;10580;2887;29511
2011;76;2;7969;2001;34093
2011;77;1;10046;2617;26979
2011;77;2;8214;1931;33042
2011;78;1;9845;2626;25498
2011;78;2;8524;1820;31740
2011;79;1;10118;2522;25020
2011;79;2;9147;1909;32081
2011;80;1;9875;2447;23253
2011;80;2;9303;1852;31126
2011;81;1;9834;2393;22268
2011;81;2;9720;1853;30692
2011;82;1;8911;2088;19841
2011;82;2;9398;1775;28456
2011;83;1;8698;1959;18921
2011;83;2;9731;1728;27998
2011;84;1;7893;1728;16461
2011;84;2;9362;1565;25757
2011;85;1;7367;1656;15124
2011;85;2;9246;1463;24531
2011;86;1;6912;1473;13664
2011;86;2;9074;1378;22979
2011;87;1;6063;1250;11719
2011;87;2;8515;1242;21051
2011;88;1;5426;1099;10433
2011;88;2;7807;1115;18891
2011;89;1;4381;900;8351
2011;89;2;7056;990;16487
2011;90;1;3848;753;7334
2011;90;2;6792;870;15400
2011;91;1;3170;601;5916
2011;91;2;6077;835;13541
2011;92;1;2038;375;3829
2011;92;2;4044;500;9080
2011;93;1;1493;256;2776
2011;93;2;3222;435;7097
2011;94;1;1050;194;2030
2011;94;2;2516;335;5716
2011;95;1;701;112;1360
2011;95;2;1874;243;4162
2011;96;1;476;85;848
2011;96;2;1335;152;2996
2011;97;1;302;74;612
2011;97;2;909;137;2276
2011;98;1;189;31;388
2011;98;2;673;68;1550
2011;99;1;123;20;231
2011;99;2;419;42;1049
2011;100;1;112;21;275
2011;100;2;543;57;1493
2012;5;1;13;39;112
2012;5;2;20;43;112
2012;6;1;22;42;115
2012;6;2;13;28;84
2012;7;1;12;40;102
2012;7;2;16;21;106
2012;8;1;18;36;116
2012;8;2;19;19;104
2012;9;1;12;22;102
2012;9;2;15;17;88
2012;10;1;19;18;116
2012;10;2;19;13;109
2012;11;1;14;19;128
2012;11;2;26;23;114
2012;12;1;19;18;119
2012;12;2;15;13;102
2012;13;1;10;18;119
2012;13;2;12;19;122
2012;14;1;29;30;169
2012;14;2;22;31;147
2012;15;1;27;39;50997
2012;15;2;19;34;47910
2012;16;1;44;51;53789
2012;16;2;44;30;50626
2012;17;1;66;41;58446
2012;17;2;55;35;54269
2012;18;1;77;75;62584
2012;18;2;63;65;59046
2012;19;1;212;75;64949
2012;19;2;185;61;61655
2012;20;1;675;91;68162
2012;20;2;496;81;64322
2012;21;1;717;99;69583
2012;21;2;546;100;65772
2012;22;1;739;90;70261
2012;22;2;579;74;67169
2012;23;1;729;96;67012
2012;23;2;527;101;64428
2012;24;1;671;82;66375
2012;24;2;508;114;63668
2012;25;1;609;115;63370
2012;25;2;484;138;61597
2012;26;1;631;124;63564
2012;26;2;450;139;60832
2012;27;1;612;116;63110
2012;27;2;473;152;59646
2012;28;1;572;127;61280
2012;28;2;538;137;57865
2012;29;1;610;140;60326
2012;29;2;491;159;57069
2012;30;1;626;140;60736
2012;30;2;548;201;57639
2012;31;1;593;143;60111
2012;31;2;570;217;57569
2012;32;1;650;167;62012
2012;32;2;646;237;59322
2012;33;1;691;189;60507
2012;33;2;616;256;58054
2012;34;1;659;198;58629
2012;34;2;634;268;56475
2012;35;1;777;204;59763
2012;35;2;691;307;57279
2012;36;1;851;215;60545
2012;36;2;719;346;58334
2012;37;1;938;221;62903
2012;37;2;779;375;60828
2012;38;1;1033;266;65588
2012;38;2;914;471;63591
2012;39;1;1070;247;64569
2012;39;2;921;447;62862
2012;40;1;1166;274;65610
2012;40;2;902;537;63908
2012;41;1;1272;270;65670
2012;41;2;1003;543;63948
2012;42;1;1410;287;63876
2012;42;2;1071;603;62497
2012;43;1;1468;307;63097
2012;43;2;1055;634;61343
2012;44;1;1702;343;65768
2012;44;2;1218;723;64127
2012;45;1;1876;362;69493
2012;45;2;1326;835;66959
2012;46;1;2120;393;70136
2012;46;2;1443;952;67437
2012;47;1;2442;444;70149
2012;47;2;1553;1036;67565
2012;48;1;2625;513;69503
2012;48;2;1719;1155;67579
2012;49;1;2737;477;65201
2012;49;2;1768;1073;62534
2012;50;1;2856;571;61671
2012;50;2;1795;1156;60040
2012;51;1;3107;653;59667
2012;51;2;1829;1245;58054
2012;52;1;3327;666;58483
2012;52;2;2054;1218;57554
2012;53;1;3766;761;58888
2012;53;2;2152;1283;57486
2012;54;1;4123;902;58452
2012;54;2;2359;1305;57313
2012;55;1;4464;1002;58563
2012;55;2;2511;1400;58253
2012;56;1;5059;1138;59109
2012;56;2;2705;1437;57757
2012;57;1;5250;1230;57468
2012;57;2;2913;1501;57294
2012;58;1;5683;1409;56214
2012;58;2;3017;1555;55901
2012;59;1;6311;1640;57478
2012;59;2;3275;1643;57001
2012;60;1;6783;1814;56532
2012;60;2;3652;1840;56561
2012;61;1;7277;1946;55497
2012;61;2;3872;1875;55913
2012;62;1;8365;2340;57878
2012;62;2;4373;2099;57933
2012;63;1;8925;2698;59253
2012;63;2;4891;2272;60067
2012;64;1;9992;2943;60743
2012;64;2;5516;2492;62005
2012;65;1;11011;3301;60935
2012;65;2;6000;2625;62039
2012;66;1;12041;3678;61351
2012;66;2;6377;2811;62187
2012;67;1;12565;4025;60403
2012;67;2;6947;2859;61042
2012;68;1;13131;4279;58752
2012;68;2;7319;3062;59360
2012;69;1;12675;3976;53883
2012;69;2;7508;2993;55401
2012;70;1;12282;3927;49095
2012;70;2;7367;2802;50028
2012;71;1;11281;3453;42288
2012;71;2;6966;2484;44099
2012;72;1;11324;3381;39494
2012;72;2;7389;2421;41742
2012;73;1;11651;3448;38521
2012;73;2;7764;2414;41583
2012;74;1;11460;3227;35757
2012;74;2;8103;2360;39747
2012;75;1;11102;3211;33002
