year;sex;age;rate
2001;1;0;0.0070741729148134
2001;1;1;0.000659918468137646
2001;1;2;0.000174764068507515
2001;1;3;0.00019302535066272
2001;1;4;0.000148815851014074
2001;1;5;0.000101649775862244
2001;1;6;9.33114362496268e-05
2001;1;7;6.93108766093119e-05
2001;1;8;9.93574882426972e-05
2001;1;9;6.26296629741261e-05
2001;1;10;9.17501338022785e-05
2001;1;11;0.000106510856499445
2001;1;12;8.02684175884157e-05
2001;1;13;0.000131358576073035
2001;1;14;0.000140783106027277
2001;1;15;0.000249105887795591
2001;1;16;0.000237842584800029
2001;1;17;0.000247498833899725
2001;1;18;0.00042857838601276
2001;1;19;0.000520963976305787
2001;1;20;0.000735230097998433
2001;1;21;0.000806557500046893
2001;1;22;0.00110622633772327
2001;1;23;0.000724311414756377
2001;1;24;0.00079225850263143
2001;1;25;0.000679934579267508
2001;1;26;0.000593311287747249
2001;1;27;0.000676210581870959
2001;1;28;0.000713160295215192
2001;1;29;0.000729737618785068
2001;1;30;0.000592056837456396
2001;1;31;0.000661846220030776
2001;1;32;0.000726792203501817
2001;1;33;0.000708756290212076
2001;1;34;0.0009584900095849
2001;1;35;0.000855605667299912
2001;1;36;0.00086638220450952
2001;1;37;0.00102716192267351
2001;1;38;0.00108294592232184
2001;1;39;0.00131560781893338
2001;1;40;0.00149181179704655
2001;1;41;0.00119552872257756
2001;1;42;0.00141065041060003
2001;1;43;0.001618504906093
2001;1;44;0.00192752505782575
2001;1;45;0.00197912028103508
2001;1;46;0.00202398421292314
2001;1;47;0.00262913702443551
2001;1;48;0.00297564319029071
2001;1;49;0.00315579856892129
2001;1;50;0.00276214833759591
2001;1;51;0.00351470971101276
2001;1;52;0.00326846405873762
2001;1;53;0.00422170045811568
2001;1;54;0.0051092904435106
2001;1;55;0.00456324795884129
2001;1;56;0.00562307409712174
2001;1;57;0.00636583768636828
2001;1;58;0.00697417427250031
2001;1;59;0.00749912956531831
2001;1;60;0.00792252624718689
2001;1;61;0.009099298238084
2001;1;62;0.00994070080862534
2001;1;63;0.0107273946294844
2001;1;64;0.0127549485590518
2001;1;65;0.0146200301962758
2001;1;66;0.014815791208067
2001;1;67;0.0172181193585625
2001;1;68;0.0190678269845594
2001;1;69;0.0214790417476001
2001;1;70;0.0219843628285393
2001;1;71;0.0256895147212848
2001;1;72;0.0298010717393628
2001;1;73;0.0309663641217298
2001;1;74;0.0356248796456769
2001;1;75;0.0406475053526244
2001;1;76;0.044307651793209
2001;1;77;0.049876339653751
2001;1;78;0.0531624290817399
2001;1;79;0.0602271229213356
2001;1;80;0.0734211619040429
2001;1;81;0.0770567786790267
2001;1;82;0.0893162284169451
2001;1;83;0.0958686287548064
2001;1;84;0.115494932755434
2001;1;85;0.118749542426239
2001;1;86;0.1408
2001;1;87;0.15018332925935
2001;1;88;0.171690463599506
2001;1;89;0.194911536774382
2001;1;90;0.21455525606469
2001;1;91;0.257162823200559
2001;1;92;0.259151478021137
2001;1;93;0.309399477806789
2001;1;94;0.310115081768625
2001;1;95;0.345132743362832
2001;1;96;0.392655367231638
2001;1;97;0.472477064220184
2001;1;98;0.455611390284757
2001;1;99;0.465608465608466
2001;1;100;0.902777777777778
2001;2;0;0.00558068363374513
2001;2;1;0.000656175402473102
2001;2;2;0.000274420572395577
2001;2;3;0.000113858906043631
2001;2;4;6.71802221426012e-05
