year;sex;age;pop;immig;emig;born;dead
2000;2;50;59785;170;127;0;120
2000;2;51;62442;147;128;0;158
2000;2;52;64779;173;123;0;178
2000;2;53;65194;175;105;0;158
2000;2;54;65819;147;101;0;203
2000;2;55;64947;108;101;0;219
2000;2;56;63648;131;99;0;266
2000;2;57;59900;107;81;0;283
2000;2;58;54490;111;63;0;278
2000;2;59;48719;99;70;0;221
2000;2;60;46242;100;71;0;244
2000;2;61;46796;99;57;0;300
2000;2;62;45101;87;64;0;275
2000;2;63;42881;88;51;0;344
2000;2;64;42008;57;46;0;310
2000;2;65;39897;80;59;0;339
2000;2;66;39391;66;43;0;376
2000;2;67;38491;54;51;0;364
2000;2;68;40037;56;39;0;437
2000;2;69;39835;30;40;0;456
2000;2;70;40655;46;38;0;522
2000;2;71;39053;36;24;0;573
2000;2;72;40142;26;36;0;672
2000;2;73;38701;24;23;0;736
2000;2;74;39027;27;30;0;782
2000;2;75;39205;24;13;0;922
2000;2;76;38875;27;23;0;1071
2000;2;77;38287;15;21;0;1147
2000;2;78;37605;19;23;0;1249
2000;2;79;39020;8;18;0;1463
2000;2;80;39200;18;17;0;1781
2000;2;81;30516;6;22;0;1652
2000;2;82;28804;8;7;0;1710
2000;2;83;27564;7;10;0;1826
2000;2;84;24955;7;6;0;1903
2000;2;85;22862;6;8;0;2096
2000;2;86;21226;7;8;0;2135
2000;2;87;18783;2;6;0;2224
2000;2;88;16771;4;5;0;2196
2000;2;89;13880;1;5;0;2144
2000;2;90;11582;2;3;0;2022
2000;2;91;9759;4;0;0;1913
2000;2;92;7627;2;3;0;1738
2000;2;93;5871;0;0;0;1469
2000;2;94;4368;1;2;0;1250
2000;2;95;3122;0;0;0;985
2000;2;96;2196;0;0;0;826
2000;2;97;1541;1;0;0;617
2000;2;98;961;0;0;0;456
2000;2;99;618;0;0;0;292
2000;2;100;828;0;3;0;497
2001;1;0;47214;383;140;0;167
2001;1;1;47187;661;290;0;31
2001;1;2;45911;533;269;0;8
2001;1;3;46749;469;221;0;9
2001;1;4;47174;505;225;0;7
2001;1;5;49297;443;219;0;5
2001;1;6;53704;458;210;0;5
2001;1;7;57797;412;231;0;4
2001;1;8;60499;434;204;0;6
2001;1;9;63980;429;197;0;4
2001;1;10;65488;371;172;0;6
2001;1;11;65854;450;175;0;7
2001;1;12;62407;375;138;0;5
2001;1;13;61039;410;129;0;8
2001;1;14;56953;367;104;0;8
2001;1;15;56322;350;94;10;14
2001;1;16;54784;381;107;34;13
2001;1;17;52659;354;75;79;13
2001;1;18;51464;379;96;152;22
2001;1;19;51924;372;154;361;27
2001;1;20;51788;461;219;561;38
2001;1;21;53427;579;300;757;43
2001;1;22;52569;677;335;1052;58
2001;1;23;51300;845;370;1325;37
2001;1;24;53292;941;337;1612;42
2001;1;25;54680;976;412;2057;37
2001;1;26;57583;1071;472;2614;34
2001;1;27;60869;991;477;3056;41
2001;1;28;60499;957;505;3335;43
2001;1;29;61883;961;495;3588;45
2001;1;30;62701;968;512;3760;37
2001;1;31;60620;877;472;3672;40
2001;1;32;60721;824;424;3325;44
2001;1;33;63617;768;474;3129;45
2001;1;34;67914;737;477;2879;65
2001;1;35;69044;693;469;2528;59
2001;1;36;69319;657;462;2038;60
2001;1;37;69192;608;400;1687;71
2001;1;38;64703;564;360;1116;70
2001;1;39;61595;511;372;837;81
2001;1;40;59677;485;362;596;89
2001;1;41;58618;480;272;401;70
2001;1;42;59555;389;283;271;84
2001;1;43;59294;325;260;163;96
2001;1;44;59661;364;248;69;115
2001;1;45;60596;319;269;43;120
2001;1;46;59275;290;196;19;120
2001;1;47;58151;288;218;7;153
2001;1;48;59769;258;179;1;178
2001;1;49;59190;232;175;4;187
2001;1;50;58588;210;167;0;162
2001;1;51;61375;218;163;0;216
2001;1;52;63243;197;165;0;207
2001;1;53;65259;206;164;0;276
2001;1;54;66010;206;154;0;338
2001;1;55;66917;186;158;0;306
2001;1;56;66522;165;121;0;375
2001;1;57;65478;164;117;0;418
2001;1;58;60878;140;120;0;426
2001;1;59;55819;145;96;0;420
2001;1;60;48910;111;100;0;389
2001;1;61;46398;117;88;0;424
2001;1;62;46164;115;75;0;461
2001;1;63;43766;89;86;0;472
2001;1;64;41301;86;62;0;530
2001;1;65;39450;92;92;0;581
2001;1;66;37643;64;81;0;562
2001;1;67;35650;60;43;0;619
2001;1;68;34550;63;48;0;665
2001;1;69;35151;61;40;0;763
2001;1;70;34283;33;28;0;762
2001;1;71;33931;37;35;0;883
2001;1;72;32268;32;22;0;976
2001;1;73;32267;27;31;0;1015
2001;1;74;30604;23;20;0;1110
2001;1;75;30201;29;23;0;1253
2001;1;76;29709;23;16;0;1346
2001;1;77;28390;19;9;0;1452
2001;1;78;27797;13;11;0;1518
2001;1;79;25751;15;13;0;1599
2001;1;80;25524;18;6;0;1945
2001;1;81;24893;13;11;0;1995
2001;1;82;18730;10;6;0;1751
2001;1;83;16468;8;3;0;1658
2001;1;84;14783;4;4;0;1812
2001;1;85;12848;5;6;0;1622
2001;1;86;10748;1;2;0;1628
2001;1;87;9459;1;2;0;1536
2001;1;88;7777;2;6;0;1461
2001;1;89;6174;3;1;0;1333
2001;1;90;4969;4;1;0;1194
2001;1;91;3741;1;1;0;1104
2001;1;92;2840;1;3;0;846
2001;1;93;1943;1;1;0;711
2001;1;94;1395;0;0;0;512
2001;1;95;935;0;0;0;390
2001;1;96;569;0;0;0;278
2001;1;97;333;0;0;0;206
2001;1;98;230;0;1;0;136
2001;1;99;145;0;0;0;88
2001;1;100;160;0;1;0;130
2001;2;0;44439;356;121;0;124
2001;2;1;44441;726;278;0;29
2001;2;2;43868;520;238;0;12
2001;2;3;44027;460;233;0;5
2001;2;4;44757;429;217;0;3
2001;2;5;47291;443;210;0;6
2001;2;6;50810;429;236;0;6
2001;2;7;55534;461;212;0;3
2001;2;8;57963;415;217;0;8
2001;2;9;60525;367;187;0;6
2001;2;10;61652;394;178;0;8
2001;2;11;62561;429;172;0;4
2001;2;12;59100;346;132;0;5
2001;2;13;57415;380;113;0;5
2001;2;14;54639;353;115;0;7
2001;2;15;53160;316;104;9;11
2001;2;16;51573;357;107;26;6
2001;2;17;49493;320;85;67;8
2001;2;18;48549;394;91;160;13
2001;2;19;49133;625;341;294;14
2001;2;20;49862;861;407;509;12
2001;2;21;51471;872;430;797;16
2001;2;22;51017;954;435;1020;9
2001;2;23;49743;1051;444;1189;10
2001;2;24;51164;1041;424;1556;12
2001;2;25;52691;1037;536;1863;9
2001;2;26;55676;1047;507;2400;12
2001;2;27;58771;1005;539;2924;15
2001;2;28;58545;974;542;3098;15
2001;2;29;59723;872;508;3465;12
2001;2;30;60326;898;490;3534;16
2001;2;31;59057;860;440;3418;17
2001;2;32;58186;729;416;3081;17
2001;2;33;61440;713;395;2923;23
2001;2;34;64542;642;436;2622;22
2001;2;35;65416;636;362;2347;31
2001;2;36;65684;594;326;1974;35
2001;2;37;66170;571;310;1609;29
2001;2;38;61182;478;286;1085;28
2001;2;39;58771;458;281;841;28
2001;2;40;57195;401;199;571;49
2001;2;41;56758;394;218;419;41
2001;2;42;57062;343;196;233;43
2001;2;43;57053;309;156;154;58
2001;2;44;58341;278;163;74;61
2001;2;45;58052;262;172;36;77
2001;2;46;57908;249;132;13;59
2001;2;47;56703;233;126;8;90
2001;2;48;58054;200;116;5;120
2001;2;49;57901;181;107;4;117
2001;2;50;57499;177;109;0;132
2001;2;51;59696;175;109;0;151
2001;2;52;62335;154;95;0;159
2001;2;53;64630;140;98;0;193
2001;2;54;65053;135;93;0;187
2001;2;55;65661;144;85;0;218
2001;2;56;64760;144;103;0;232
2001;2;57;63440;137;77;0;265
2001;2;58;59668;109;62;0;278
2001;2;59;54254;103;58;0;281
2001;2;60;48493;99;64;0;259
2001;2;61;46017;113;60;0;279
2001;2;62;46550;76;50;0;273
2001;2;63;44849;80;52;0;285
2001;2;64;42629;80;50;0;281
2001;2;65;41668;66;66;0;343
2001;2;66;39554;67;48;0;361
2001;2;67;38984;58;61;0;402
2001;2;68;38054;39;35;0;436
2001;2;69;39575;45;29;0;480
2001;2;70;39319;38;32;0;518
2001;2;71;40012;36;33;0;646
2001;2;72;38388;28;31;0;664
2001;2;73;39426;28;25;0;717
2001;2;74;37931;34;41;0;763
2001;2;75;38106;23;18;0;925
2001;2;76;38280;23;19;0;931
2001;2;77;37764;20;24;0;1106
2001;2;78;36995;16;34;0;1274
2001;2;79;36152;11;27;0;1437
2001;2;80;37387;13;12;0;1635
2001;2;81;37212;4;14;0;1979
2001;2;82;28920;7;11;0;1592
2001;2;83;26981;13;14;0;1823
2001;2;84;25586;9;10;0;1977
2001;2;85;22981;9;10;0;1972
2001;2;86;20682;10;8;0;2181
2001;2;87;19004;1;5;0;2217
2001;2;88;16509;1;7;0;2265
2001;2;89;14554;2;7;0;2211
2001;2;90;11811;4;1;0;2072
2001;2;91;9652;5;3;0;1934
2001;2;92;7874;1;0;0;1885
2001;2;93;6037;1;1;0;1590
2001;2;94;4518;1;0;0;1355
2001;2;95;3348;0;0;0;1021
2001;2;96;2316;2;0;0;808
2001;2;97;1575;0;0;0;621
2001;2;98;1060;1;3;0;479
2001;2;99;659;0;0;0;302
2001;2;100;881;0;2;0;560
2002;1;0;49275;387;153;0;146
2002;1;1;47631;637;292;0;33
2002;1;2;47449;520;262;0;14
2002;1;3;46190;519;232;0;16
2002;1;4;47047;499;208;0;6
2002;1;5;47404;446;215;0;6
2002;1;6;49544;474;223;0;1
2002;1;7;53918;432;209;0;2
2002;1;8;58034;451;213;0;4
2002;1;9;60706;419;201;0;4
2002;1;10;64210;444;208;0;7
2002;1;11;65720;424;180;0;8
2002;1;12;66135;472;176;0;9
2002;1;13;62678;421;142;0;7
2002;1;14;61290;414;155;0;6
2002;1;15;57198;364;108;2;12
2002;1;16;56598;425;124;25;24
2002;1;17;55088;401;82;109;14
2002;1;18;52949;376;71;170;11
2002;1;19;51653;351;131;328;34
2002;1;20;52139;481;219;561;40
2002;1;21;52029;586;299;781;33
2002;1;22;53944;855;298;1110;36
2002;1;23;53130;962;331;1440;59
2002;1;24;51965;1072;358;1626;45
2002;1;25;53855;1076;461;2077;45
2002;1;26;55288;1097;445;2471;29
2002;1;27;58066;1044;506;3032;45
2002;1;28;61339;1046;536;3587;30
2002;1;29;60942;1008;524;3782;33
2002;1;30;62297;975;514;4110;37
2002;1;31;63041;935;541;3956;53
2002;1;32;60923;847;491;3565;50
2002;1;33;61052;790;416;3164;39
2002;1;34;63910;763;428;2967;38
2002;1;35;68152;744;452;2480;46
2002;1;36;69190;678;464;2193;62
2002;1;37;69502;685;435;1709;56
2002;1;38;69310;606;402;1331;72
2002;1;39;64788;550;395;903;61
2002;1;40;61649;518;375;682;80
2002;1;41;59764;501;331;440;80
2002;1;42;58642;427;304;271;100
2002;1;43;59590;371;250;139;79
2002;1;44;59320;377;239;90;106
2002;1;45;59636;336;250;51;112
2002;1;46;60604;345;215;19;108
2002;1;47;59214;297;214;10;141
2002;1;48;58086;281;198;3;141
2002;1;49;59681;257;191;3;149
2002;1;50;59092;213;151;0;155
2002;1;51;58416;228;186;0;209
2002;1;52;61149;190;183;0;232
2002;1;53;63023;186;146;0;257
2002;1;54;65019;201;159;0;282
2002;1;55;65725;208;151;0;337
2002;1;56;66601;181;154;0;341
2002;1;57;66155;167;139;0;393
2002;1;58;65087;170;128;0;432
2002;1;59;60415;138;98;0;498
2002;1;60;55381;139;107;0;469
2002;1;61;48519;144;89;0;447
2002;1;62;46006;113;93;0;409
2002;1;63;45689;110;69;0;515
2002;1;64;43267;91;60;0;530
2002;1;65;40773;97;83;0;541
2002;1;66;38877;76;78;0;571
2002;1;67;37005;70;61;0;646
2002;1;68;35010;62;54;0;647
2002;1;69;33827;59;50;0;729
2002;1;70;34321;54;54;0;828
2002;1;71;33438;44;39;0;847
2002;1;72;33027;55;29;0;929
2002;1;73;31233;40;30;0;1042
2002;1;74;31135;30;21;0;1139
2002;1;75;29419;27;21;0;1191
2002;1;76;28913;17;18;0;1285
2002;1;77;28302;20;14;0;1411
2002;1;78;26841;20;19;0;1547
2002;1;79;26193;12;7;0;1607
2002;1;80;23943;16;14;0;1809
2002;1;81;23665;13;11;0;1859
2002;1;82;22791;17;6;0;2113
2002;1;83;16966;5;6;0;1763
2002;1;84;14810;10;5;0;1663
2002;1;85;13046;5;5;0;1737
2002;1;86;11174;3;3;0;1673
2002;1;87;9116;7;1;0;1638
2002;1;88;7919;0;2;0;1537
2002;1;89;6375;3;5;0;1399
2002;1;90;4945;3;1;0;1230
2002;1;91;3928;2;1;0;1041
2002;1;92;2864;0;1;0;876
2002;1;93;2095;2;0;0;746
2002;1;94;1353;0;2;0;588
2002;1;95;986;2;2;0;408
2002;1;96;628;0;0;0;307
2002;1;97;357;0;0;0;212
2002;1;98;209;0;0;0;124
2002;1;99;144;2;0;0;88
2002;1;100;170;0;1;0;134
2002;2;0;46751;385;144;0;119
2002;2;1;45055;802;261;0;27
2002;2;2;44731;500;227;0;5
2002;2;3;44131;478;212;0;9
2002;2;4;44239;421;211;0;3
2002;2;5;44976;434;206;0;4
2002;2;6;47531;461;218;0;5
2002;2;7;51001;409;211;0;3
2002;2;8;55739;434;222;0;2
2002;2;9;58183;440;211;0;3
2002;2;10;60720;403;195;0;8
2002;2;11;61924;427;153;0;5
2002;2;12;62781;380;151;0;5
2002;2;13;59300;348;144;0;3
2002;2;14;57632;340;119;0;2
2002;2;15;54877;347;103;10;9
2002;2;16;53400;345;92;23;9
2002;2;17;51824;364;96;86;14
2002;2;18;49804;413;99;164;6
2002;2;19;48835;627;318;308;19
2002;2;20;49553;854;413;522;21
2002;2;21;50367;937;410;781;18
2002;2;22;51943;942;447;1101;12
2002;2;23;51571;1022;441;1267;16
2002;2;24;50363;1054;421;1511;7
2002;2;25;51727;1095;510;1879;10
2002;2;26;53244;1082;514;2301;13
2002;2;27;56138;1033;550;2873;19
2002;2;28;59225;1051;583;3340;16
2002;2;29;58924;939;543;3542;9
2002;2;30;60130;950;511;3785;28
2002;2;31;60695;882;491;3886;18
2002;2;32;59354;808;475;3466;24
2002;2;33;58506;734;385;2989;27
2002;2;34;61703;698;412;2735;15
2002;2;35;64770;611;351;2541;31
2002;2;36;65639;605;349;2021;26
2002;2;37;65898;572;321;1659;36
2002;2;38;66365;543;308;1253;40
2002;2;39;61304;453;282;960;42
2002;2;40;58893;438;284;596;25
2002;2;41;57315;392;221;415;47
2002;2;42;56917;386;175;288;47
2002;2;43;57133;293;162;155;59
2002;2;44;57127;303;166;100;58
2002;2;45;58448;292;128;43;57
2002;2;46;58113;265;126;13;70
2002;2;47;57951;251;112;6;98
2002;2;48;56715;236;127;4;97
2002;2;49;58026;204;120;5;110
2002;2;50;57868;186;105;0;116
2002;2;51;57458;191;91;0;141
2002;2;52;59653;192;104;0;128
2002;2;53;62248;161;96;0;142
2002;2;54;64510;168;99;0;188
2002;2;55;64922;164;77;0;212
2002;2;56;65455;147;114;0;235
2002;2;57;64539;137;74;0;283
2002;2;58;63214;122;78;0;272
2002;2;59;59409;101;69;0;294
2002;2;60;54006;100;61;0;285
2002;2;61;48221;94;53;0;315
2002;2;62;45800;113;61;0;270
2002;2;63;46320;99;52;0;273
2002;2;64;44570;94;56;0;318
2002;2;65;42312;78;50;0;344
2002;2;66;41348;75;57;0;340
2002;2;67;39164;52;45;0;399
2002;2;68;38555;51;41;0;440
2002;2;69;37621;41;29;0;443
2002;2;70;39019;38;31;0;561
2002;2;71;38671;33;27;0;653
2002;2;72;39357;42;49;0;651
2002;2;73;37701;27;32;0;682
2002;2;74;38609;25;36;0;805
2002;2;75;37089;34;22;0;855
2002;2;76;37170;19;31;0;923
2002;2;77;37215;37;26;0;1075
2002;2;78;36516;23;25;0;1242
2002;2;79;35608;17;15;0;1390
2002;2;80;34557;18;16;0;1596
2002;2;81;35585;18;21;0;1799
2002;2;82;35154;8;29;0;2035
2002;2;83;27075;5;9;0;1839
2002;2;84;25110;9;7;0;1871
2002;2;85;23437;7;10;0;2144
2002;2;86;20844;7;8;0;2135
2002;2;87;18430;3;9;0;2245
2002;2;88;16659;10;4;0;2351
2002;2;89;14363;5;9;0;2142
2002;2;90;12249;3;6;0;2300
2002;2;91;9723;3;3;0;2088
2002;2;92;7829;3;8;0;1817
2002;2;93;6246;4;2;0;1629
2002;2;94;4621;0;0;0;1416
2002;2;95;3400;1;1;0;1117
2002;2;96;2415;0;2;0;931
2002;2;97;1599;0;0;0;717
2002;2;98;1070;0;1;0;504
2002;2;99;717;0;1;0;342
2002;2;100;959;1;2;0;580
2003;1;0;51138;357;166;0;167
2003;1;1;49687;617;286;0;30
2003;1;2;47852;497;277;0;10
2003;1;3;47680;480;246;0;13
2003;1;4;46438;485;229;0;7
2003;1;5;47322;493;209;0;9
2003;1;6;47587;451;270;0;5
2003;1;7;49748;441;228;0;6
2003;1;8;54127;427;219;0;4
2003;1;9;58274;433;184;0;4
2003;1;10;60944;433;189;0;6
2003;1;11;64393;371;179;0;7
2003;1;12;65920;387;178;0;8
2003;1;13;66380;396;143;0;10
2003;1;14;62910;382;139;0;6
2003;1;15;61546;380;112;8;7
2003;1;16;57461;401;126;24;12
2003;1;17;56887;397;88;96;19
2003;1;18;55386;405;85;184;23
2003;1;19;53137;362;146;286;31
2003;1;20;51846;456;223;535;34
2003;1;21;52409;613;305;851;39
2003;1;22;52501;835;325;1062;32
2003;1;23;54561;1036;378;1402;41
2003;1;24;53777;1106;418;1681;36
2003;1;25;52613;1172;479;1955;43
2003;1;26;54324;1089;580;2374;34
2003;1;27;55770;1058;542;2887;25
2003;1;28;58540;1085;555;3463;45
2003;1;29;61714;948;540;3977;29
2003;1;30;61327;943;511;4154;41
2003;1;31;62604;888;539;4201;39
2003;1;32;63342;822;495;4072;23
2003;1;33;61217;791;448;3529;35
2003;1;34;61231;705;470;2964;47
2003;1;35;64056;663;446;2743;63
2003;1;36;68304;648;437;2308;51
2003;1;37;69360;663;428;1878;54
2003;1;38;69569;574;432;1521;63
2003;1;39;69287;481;416;1116;86
2003;1;40;64913;540;336;718;74
2003;1;41;61657;445;339;505;90
2003;1;42;59692;360;350;291;79
2003;1;43;58662;429;302;165;97
2003;1;44;59591;332;230;90;104
2003;1;45;59284;335;249;42;115
2003;1;46;59608;320;219;19;117
2003;1;47;60531;296;240;7;124
2003;1;48;59084;267;230;4;166
2003;1;49;57967;239;186;2;170
2003;1;50;59520;214;188;0;180
2003;1;51;58920;207;178;0;194
2003;1;52;58275;224;176;0;186
2003;1;53;60914;193;169;0;254
2003;1;54;62775;172;144;0;275
2003;1;55;64722;195;162;0;324
2003;1;56;65380;151;122;0;371
2003;1;57;66266;165;104;0;392
2003;1;58;65776;137;116;0;398
2003;1;59;64672;139;109;0;448
2003;1;60;59973;143;134;0;451
2003;1;61;54971;157;108;0;457
2003;1;62;48023;116;105;0;505
2003;1;63;45558;112;77;0;482
2003;1;64;45202;103;78;0;515
2003;1;65;42665;99;103;0;601
2003;1;66;40145;76;86;0;619
2003;1;67;38251;60;57;0;628
2003;1;68;36338;59;52;0;672
2003;1;69;34308;43;59;0;687
2003;1;70;33048;31;38;0;772
2003;1;71;33427;41;36;0;899
2003;1;72;32529;26;22;0;914
2003;1;73;31994;30;25;0;1041
2003;1;74;30152;17;26;0;1073
2003;1;75;30008;22;23;0;1128
2003;1;76;28174;28;14;0;1257
2003;1;77;27503;22;25;0;1408
2003;1;78;26855;19;19;0;1450
2003;1;79;25325;18;14;0;1522
2003;1;80;24451;11;8;0;1744
2003;1;81;22196;17;12;0;1748
2003;1;82;21658;6;12;0;2003
2003;1;83;20673;10;10;0;2119
2003;1;84;15181;11;7;0;1788
2003;1;85;13145;5;1;0;1669
2003;1;86;11352;5;4;0;1695
2003;1;87;9587;6;3;0;1589
2003;1;88;7650;4;4;0;1465
2003;1;89;6527;4;3;0;1392
2003;1;90;5196;5;1;0;1183
2003;1;91;3954;2;2;0;993
2003;1;92;2982;1;3;0;943
2003;1;93;2160;0;0;0;703
2003;1;94;1535;0;0;0;560
2003;1;95;973;0;1;0;379
2003;1;96;666;0;2;0;318
2003;1;97;391;0;0;0;237
2003;1;98;227;0;0;0;130
2003;1;99;136;0;0;0;73
2003;1;100;189;0;2;0;124
2003;2;0;48092;299;141;0;109
2003;2;1;47392;833;279;0;22
2003;2;2;45352;548;257;0;7
2003;2;3;44934;468;267;0;4
2003;2;4;44321;427;233;0;7
2003;2;5;44446;423;221;0;3
2003;2;6;45187;434;213;0;5
2003;2;7;47750;412;190;0;1
2003;2;8;51206;423;221;0;3
2003;2;9;55952;439;221;0;3
2003;2;10;58413;408;172;0;4
2003;2;11;60898;370;193;0;2
2003;2;12;62145;370;143;0;3
2003;2;13;63004;390;164;0;5
2003;2;14;59498;349;136;0;11
2003;2;15;57835;336;113;4;16
2003;2;16;55095;349;115;27;17
2003;2;17;53622;339;103;81;18
2003;2;18;52170;447;93;163;11
2003;2;19;50161;699;328;255;10
2003;2;20;49426;938;327;528;16
2003;2;21;50022;948;464;767;13
2003;2;22;50800;968;511;1063;16
2003;2;23;52537;1166;547;1246;15
2003;2;24;52138;1137;552;1499;10
2003;2;25;50989;1226;589;1896;8
2003;2;26;52191;1081;592;2293;16
2003;2;27;53720;1092;597;2767;13
2003;2;28;56530;1024;596;3224;25
2003;2;29;59560;1001;636;3784;24
2003;2;30;59356;961;521;3970;11
2003;2;31;60492;911;524;3889;23
2003;2;32;61035;854;480;3807;25
2003;2;33;59655;740;415;3280;27
2003;2;34;58844;733;374;2826;21
2003;2;35;61951;626;363;2507;18
2003;2;36;64999;619;358;2076;30
2003;2;37;65818;584;368;1756;36
2003;2;38;66076;524;305;1414;38
2003;2;39;66476;458;297;1098;44
2003;2;40;61437;432;261;721;34
2003;2;41;59050;441;233;449;47
2003;2;42;57389;350;232;296;49
2003;2;43;56979;333;212;165;60
2003;2;44;57197;307;178;98;60
2003;2;45;57181;269;161;53;53
2003;2;46;58471;265;157;23;81
2003;2;47;58112;245;161;11;88
2003;2;48;57928;214;142;4;95
2003;2;49;56706;201;112;3;100
2003;2;50;57981;184;117;0;113
2003;2;51;57791;175;119;0;132
2003;2;52;57368;150;109;0;132
