;year;age;rate;sex
2606;2090;81;0.0203330709482463;1
2607;2090;82;0.0235492830203224;1
2608;2090;83;0.0273305628408775;1
2609;2090;84;0.0317566767377604;1
2610;2090;85;0.036916714110541;1
2611;2090;86;0.0429122121070872;1
2612;2090;87;0.0498615657807364;1
2613;2090;88;0.0579056945876964;1
2614;2090;89;0.0672147649028683;1
2615;2090;90;0.0779956271470296;1
2616;2090;91;0.0904995446819845;1
2617;2090;92;0.105029783449728;1
2618;2090;93;0.121948699224438;1
2619;2090;94;0.141684108360284;1
2620;2090;95;0.16473497779493;1
2621;2090;96;0.191676858301824;1
2622;2090;97;0.22316805618359;1
2623;2090;98;0.259958323772378;1
2624;2090;99;0.302902847681776;1
2625;2090;100;0.35298549940727;1
2424;2091;0;0.0021;2
2425;2091;1;0.00021;2
2426;2091;2;5e-05;2
2427;2091;3;0.00016;2
2428;2091;4;3e-05;2
2429;2091;5;5e-05;2
2430;2091;6;7e-05;2
2431;2091;7;7e-05;2
2432;2091;8;0.0;2
2433;2091;9;7e-05;2
2434;2091;10;3e-05;2
2435;2091;11;6e-05;2
2436;2091;12;2e-05;2
2437;2091;13;0.00012;2
2438;2091;14;0.00018;2
2439;2091;15;0.00018;2
2440;2091;16;7e-05;2
2441;2091;17;0.00016;2
2442;2091;18;0.00019;2
2443;2091;19;0.0002;2
2444;2091;20;0.0001394429126017;2
2445;2091;21;0.0001434178368282;2
2446;2091;22;0.0001474410683511;2
2447;2091;23;0.0001514188139494;2
2448;2091;24;0.0001552366308526;2
2449;2091;25;0.0001587814232988;2
2450;2091;26;0.0001619633600225;2
2451;2091;27;0.0001647352304578;2
2452;2091;28;0.00016710660465;2
2453;2091;29;0.0001691508422985;2
2454;2091;30;0.0001710043598756;2
2455;2091;31;0.0001728591607021;2
2456;2091;32;0.0001749509100008;2
2457;2091;33;0.0001775453920704;2
2458;2091;34;0.0001809259233718;2
2459;2091;35;0.0001853834181266;2
2460;2091;36;0.0001912096790008;2
2461;2091;37;0.0001986934721684;2
2462;2091;38;0.0002081182778303;2
2463;2091;39;0.0002197603709615;2
2464;2091;40;0.0002338860609727;2
2465;2091;41;0.0002507474259291;2
