AR;alder;Kon;inc_cvd;inc_ccr
2007;37;2;;79
2007;38;1;;60
2007;38;2;;95
2007;39;1;;61
2007;39;2;;108
2007;40;1;;53
2007;40;2;;140
2007;41;1;;65
2007;41;2;;137
2007;42;1;;59
2007;42;2;;146
2007;43;1;;75
2007;43;2;;188
2007;44;1;;87
2007;44;2;;189
2007;45;1;;79
2007;45;2;;205
2007;46;1;;78
2007;46;2;;208
2007;47;1;;99
2007;47;2;;223
2007;48;1;;140
2007;48;2;;216
2007;49;1;;102
2007;49;2;;274
2007;50;1;;134
2007;50;2;;312
2007;51;1;;187
2007;51;2;;292
2007;52;1;;202
2007;52;2;;310
2007;53;1;;243
2007;53;2;;305
2007;54;1;;244
2007;54;2;;328
2007;55;1;;296
2007;55;2;;373
2007;56;1;;332
2007;56;2;;357
2007;57;1;;379
2007;57;2;;437
2007;58;1;;439
2007;58;2;;458
2007;59;1;;573
2007;59;2;;506
2007;60;1;;609
2007;60;2;;536
2007;61;1;;671
2007;61;2;;620
2007;62;1;;773
2007;62;2;;644
2007;63;1;;820
2007;63;2;;641
2007;64;1;;876
2007;64;2;;746
2007;65;1;;833
2007;65;2;;588
2007;66;1;;791
2007;66;2;;600
2007;67;1;;828
2007;67;2;;571
2007;68;1;;879
2007;68;2;;591
2007;69;1;;879
2007;69;2;;577
2007;70;1;;822
2007;70;2;;574
2007;71;1;;800
2007;71;2;;571
2007;72;1;;805
2007;72;2;;583
2007;73;1;;830
2007;73;2;;582
2007;74;1;;728
2007;74;2;;555
2007;75;1;;825
2007;75;2;;559
2007;76;1;;835
2007;76;2;;581
2007;77;1;;783
2007;77;2;;608
2007;78;1;;754
2007;78;2;;611
2007;79;1;;730
2007;79;2;;603
2007;80;1;;674
2007;80;2;;550
2007;81;1;;672
2007;81;2;;525
2007;82;1;;722
2007;82;2;;575
2007;83;1;;585
2007;83;2;;520
2007;84;1;;588
2007;84;2;;503
2007;85;1;;532
2007;85;2;;502
2007;86;1;;488
2007;86;2;;455
2007;87;1;;417
2007;87;2;;444
2007;88;1;;307
2007;88;2;;335
2007;89;1;;241
2007;89;2;;289
2007;90;1;;162
2007;90;2;;247
2007;91;1;;141
2007;91;2;;209
2007;92;1;;111
2007;92;2;;141
2007;93;1;;68
2007;93;2;;110
2007;94;1;;59
2007;94;2;;86
2007;95;1;;35
2007;95;2;;60
2007;96;1;;27
2007;96;2;;29
2007;97;1;;17
2007;97;2;;27
2007;98;1;;5
2007;98;2;;22
2007;99;1;;4
2007;99;2;;10
2007;100;1;;5
2007;100;2;;14
2008;1;1;;8
2008;1;2;;9
2008;2;1;;11
2008;2;2;;9
2008;3;1;;13
2008;3;2;;7
2008;4;1;;10
2008;4;2;;4
2008;5;1;;5
2008;5;2;;5
2008;6;1;;7
2008;6;2;;2
2008;7;1;;6
2008;7;2;;3
2008;8;1;;6
2008;8;2;;2
2008;9;1;;4
2008;9;2;;4
2008;10;1;;3
2008;10;2;;4
2008;11;1;;5
2008;11;2;;6
2008;12;1;;8
2008;12;2;;6
2008;13;1;;7
2008;13;2;;2
2008;14;1;;8
2008;14;2;;9
2008;15;1;;7
2008;15;2;;4
2008;16;1;;7
2008;16;2;;10
2008;17;1;;16
2008;17;2;;19
2008;18;1;;16
2008;18;2;;14
2008;19;1;;17
2008;19;2;;19
2008;20;1;;20
2008;20;2;;15
2008;21;1;;19
2008;21;2;;31
