year;sex;age;rate
2001;1;0;0.0162240013555301
2001;1;1;0.0140711647560963
2001;1;2;0.0116436560643132
2001;1;3;0.0100587654956462
2001;1;4;0.010736000680301
2001;1;5;0.00900617014139484
2001;1;6;0.00854732756046581
2001;1;7;0.00713902029075913
2001;1;8;0.00718685831622177
2001;1;9;0.00671703135397503
2001;1;10;0.00567321660677422
2001;1;11;0.00684712648925001
2001;1;12;0.00602013131913117
2001;1;13;0.00673212702374306
2001;1;14;0.00645842498900132
2001;1;15;0.00622764719488977
2001;1;16;0.00697061729298547
2001;1;17;0.00673958363080789
2001;1;18;0.00738323674085618
2001;1;19;0.00717772589576862
2001;1;20;0.00891950197834941
2001;1;21;0.0108603905238872
2001;1;22;0.0129123315627354
2001;1;23;0.016541706634301
2001;1;24;0.0177503631184804
2001;1;25;0.0179355716044618
2001;1;26;0.0186893055640384
2001;1;27;0.0163445045520517
2001;1;28;0.0158719628493242
2001;1;29;0.0155839522589433
2001;1;30;0.0154894869907511
2001;1;31;0.0145109783741748
2001;1;32;0.013610835811034
2001;1;33;0.0120961073529528
2001;1;34;0.010867802108678
2001;1;35;0.0100497411430312
2001;1;36;0.00948688513937924
2001;1;37;0.00879597815472531
2001;1;38;0.00872545000270737
2001;1;39;0.00829969870956739
2001;1;40;0.00812953619738849
2001;1;41;0.00819791124053184
2001;1;42;0.00653265487765966
2001;1;43;0.005479313484169
2001;1;44;0.00610103583520499
2001;1;45;0.00526116141375159
2001;1;46;0.00489129518123092
2001;1;47;0.00494896381070214
2001;1;48;0.00431301091626406
2001;1;49;0.00391521533684353
2001;1;50;0.00358056265984655
2001;1;51;0.00354725331944806
2001;1;52;0.00311056724430585
2001;1;53;0.00315097932743417
2001;1;54;0.00311394624663664
2001;1;55;0.00277373895537412
2001;1;56;0.00247415260273356
2001;1;57;0.00249760138891004
2001;1;58;0.00229198215528179
2001;1;59;0.00258898520707418
2001;1;60;0.00226066944328469
2001;1;61;0.00251089125909393
2001;1;62;0.00247978436657682
2001;1;63;0.00202275025852567
2001;1;64;0.00206967089826124
2001;1;65;0.00231504781077001
2001;1;66;0.00168720753970869
2001;1;67;0.00166896148871365
2001;1;68;0.00180642571432668
2001;1;69;0.00171719730878586
2001;1;70;0.000952078705172961
2001;1;71;0.00107645758175259
2001;1;72;0.000977084319323369
2001;1;73;0.000823735794371139
2001;1;74;0.000738173181847359
2001;1;75;0.000940764289885162
2001;1;76;0.000757114406570436
2001;1;77;0.000652651827425117
2001;1;78;0.000455277719408839
2001;1;79;0.000564982391382135
2001;1;80;0.000679476048469291
2001;1;81;0.000502124372344535
2001;1;82;0.000510086969828356
2001;1;83;0.000462574807019573
2001;1;84;0.000254955701446874
2001;1;85;0.000366059008712204
2001;1;86;8.64864864864865e-05
2001;1;87;9.77756049865559e-05
2001;1;88;0.000235031435454492
2001;1;89;0.000438660622898085
2001;1;90;0.000718778077268643
2001;1;91;0.000232937339855579
2001;1;92;0.000306325624138459
2001;1;93;0.000435161009573542
2001;1;94;0
2001;1;95;0
2001;1;96;0
2001;1;97;0
2001;1;98;0
2001;1;99;0
2001;1;100;0
2001;2;0;0.0160219626904296
2001;2;1;0.0164270117998439
2001;2;2;0.0118915581371417
2001;2;3;0.010475019356014
2001;2;4;0.00960677176639197
2001;2;5;0.00938996990122515
2001;2;6;0.00845911918682034
2001;2;7;0.00831897212873655
2001;2;8;0.00717130785647016
2001;2;9;0.00607233859492372
2001;2;10;0.00640140375960617
2001;2;11;0.00687087087087087
2001;2;12;0.00586450617807082
2001;2;13;0.00663384658356901
2001;2;14;0.0064740944520862
2001;2;15;0.00595557817167519
2001;2;16;0.00693884294308011
2001;2;17;0.00648009396136244
2001;2;18;0.00813982315511115
2001;2;19;0.0127553623543338
2001;2;20;0.0173440096691343
2001;2;21;0.0170111489353401
2001;2;22;0.0187928453234576
2001;2;23;0.0212542215211632
2001;2;24;0.0204667439985844
2001;2;25;0.019773095623987
2001;2;26;0.0188943127577215
2001;2;27;0.0171652561551534
2001;2;28;0.0166968089209644
2001;2;29;0.014643525865471
2001;2;30;0.0149344331817161
2001;2;31;0.0146119342123148
